Stat,Player,Allycode,Score
stars,KingK0n,329415631,253
stars,Smilol,663333121,244
stars,Lax Hatif,247151728,274
stars,Dark Sebo Wan,519117957,192
stars,DarthBalken,962597524,214
stars,Oicis,855267675,315
stars,Sem,196429666,193
stars,Spicewood Foo,969812774,288
stars,Plagais,491622455,209
stars,Vovka,687689773,226
stars,White dead,298782957,234
stars,Zakalwe,959123267,232
stars,BurglarBeagle,384891228,254
stars,Torque,632691185,303
stars,Beyla,173624533,219
stars,Denozvr,175937456,178
stars,Themi,369992749,239
stars,l2ed Leader,857421387,298
stars,xcorpio,831499314,252
stars,Nerf Herder,222622523,273
stars,GrandMoffR10,216462581,229
stars,Maz897,853861723,250
stars,eekajj,136748942,239
stars,Bluescout99,347221112,296
stars,SlizzyFizz,125167493,214
stars,ŒArsmant,973534937,250
stars,Loreck Avery,163499779,292
stars,Sexbobomb,396197254,295
stars,Coimba,685713638,201
stars,DarthYinzer,682841274,293
stars,SithHunter,574967428,297
stars,Gladiator Motoko,683258588,332
stars,Shadowcat USM,825149629,230
stars,Heisenberg,892234357,143
stars,Gibrise USM,731149156,285
stars,PhoenixRed11,841797886,284
stars,Rann,994385236,248
stars,Ceth Senpai,474166757,236
stars,Eckle,228335419,269
stars,Pдсо,238227159,297
stars,DANTE,417327527,229
stars,Ace,154174985,295
stars,Bro Beans,891261494,246
stars,Brill Adrien,876538381,232
stars,Seandwe,737873335,242
stars,X'loor Bintaghr,125796381,251
stars,RaaRaven,318429567,294
stars,Daxx Zanon,515149882,0
stars,Kilum Natta,192664314,0
stars,Corey Gandy,241213166,0
set_defense_stars,KingK0n,329415631,154
set_defense_stars,Smilol,663333121,154
set_defense_stars,Lax Hatif,247151728,124
set_defense_stars,Dark Sebo Wan,519117957,120
set_defense_stars,DarthBalken,962597524,154
set_defense_stars,Oicis,855267675,184
set_defense_stars,Sem,196429666,154
set_defense_stars,Spicewood Foo,969812774,184
set_defense_stars,Plagais,491622455,154
set_defense_stars,Vovka,687689773,154
set_defense_stars,White dead,298782957,154
set_defense_stars,Zakalwe,959123267,154
set_defense_stars,BurglarBeagle,384891228,184
set_defense_stars,Torque,632691185,184
set_defense_stars,Beyla,173624533,154
set_defense_stars,Denozvr,175937456,124
set_defense_stars,Themi,369992749,124
set_defense_stars,l2ed Leader,857421387,154
set_defense_stars,xcorpio,831499314,184
set_defense_stars,Nerf Herder,222622523,154
set_defense_stars,GrandMoffR10,216462581,154
set_defense_stars,Maz897,853861723,154
set_defense_stars,eekajj,136748942,154
set_defense_stars,Bluescout99,347221112,124
set_defense_stars,SlizzyFizz,125167493,154
set_defense_stars,ŒArsmant,973534937,154
set_defense_stars,Loreck Avery,163499779,154
set_defense_stars,Sexbobomb,396197254,154
set_defense_stars,Coimba,685713638,154
set_defense_stars,DarthYinzer,682841274,184
set_defense_stars,SithHunter,574967428,184
set_defense_stars,Gladiator Motoko,683258588,218
set_defense_stars,Shadowcat USM,825149629,154
set_defense_stars,Heisenberg,892234357,124
set_defense_stars,Gibrise USM,731149156,154
set_defense_stars,PhoenixRed11,841797886,188
set_defense_stars,Rann,994385236,154
set_defense_stars,Ceth Senpai,474166757,124
set_defense_stars,Eckle,228335419,154
set_defense_stars,Pдсо,238227159,184
set_defense_stars,DANTE,417327527,154
set_defense_stars,Ace,154174985,154
set_defense_stars,Bro Beans,891261494,154
set_defense_stars,Brill Adrien,876538381,124
set_defense_stars,Seandwe,737873335,184
set_defense_stars,X'loor Bintaghr,125796381,154
set_defense_stars,RaaRaven,318429567,184
set_defense_stars,Daxx Zanon,515149882,0
set_defense_stars,Kilum Natta,192664314,0
set_defense_stars,Corey Gandy,241213166,0
attack_stars,KingK0n,329415631,99
attack_stars,Smilol,663333121,90
attack_stars,Lax Hatif,247151728,150
attack_stars,Dark Sebo Wan,519117957,72
attack_stars,DarthBalken,962597524,60
attack_stars,Oicis,855267675,131
attack_stars,Spicewood Foo,969812774,104
attack_stars,Sem,196429666,39
attack_stars,Plagais,491622455,55
attack_stars,White dead,298782957,80
attack_stars,Vovka,687689773,72
attack_stars,Zakalwe,959123267,78
attack_stars,Torque,632691185,119
attack_stars,BurglarBeagle,384891228,70
attack_stars,Beyla,173624533,65
attack_stars,Denozvr,175937456,54
attack_stars,Themi,369992749,115
attack_stars,l2ed Leader,857421387,144
attack_stars,xcorpio,831499314,68
attack_stars,Nerf Herder,222622523,119
attack_stars,GrandMoffR10,216462581,75
attack_stars,Maz897,853861723,96
attack_stars,eekajj,136748942,85
attack_stars,Bluescout99,347221112,172
attack_stars,SlizzyFizz,125167493,60
attack_stars,Loreck Avery,163499779,138
attack_stars,ŒArsmant,973534937,96
attack_stars,Sexbobomb,396197254,141
attack_stars,DarthYinzer,682841274,109
attack_stars,Coimba,685713638,47
attack_stars,SithHunter,574967428,113
attack_stars,Gladiator Motoko,683258588,114
attack_stars,Shadowcat USM,825149629,76
attack_stars,Heisenberg,892234357,19
attack_stars,Gibrise USM,731149156,131
attack_stars,PhoenixRed11,841797886,96
attack_stars,Rann,994385236,94
attack_stars,Ceth Senpai,474166757,112
attack_stars,Eckle,228335419,115
attack_stars,Pдсо,238227159,113
attack_stars,DANTE,417327527,75
attack_stars,Ace,154174985,141
attack_stars,Bro Beans,891261494,92
attack_stars,Brill Adrien,876538381,108
attack_stars,Seandwe,737873335,58
attack_stars,X'loor Bintaghr,125796381,97
attack_stars,RaaRaven,318429567,110
attack_stars,Daxx Zanon,515149882,0
attack_stars,Kilum Natta,192664314,0
attack_stars,Corey Gandy,241213166,0
disobey,KingK0n,329415631,6
disobey,Smilol,663333121,7
disobey,Lax Hatif,247151728,9
disobey,Dark Sebo Wan,519117957,5
disobey,DarthBalken,962597524,4
disobey,Oicis,855267675,15
disobey,Spicewood Foo,969812774,6
disobey,Sem,196429666,3
disobey,Plagais,491622455,4
disobey,White dead,298782957,5
disobey,Vovka,687689773,4
disobey,Zakalwe,959123267,5
disobey,Torque,632691185,7
disobey,BurglarBeagle,384891228,5
disobey,Beyla,173624533,7
disobey,Denozvr,175937456,6
disobey,Themi,369992749,10
disobey,l2ed Leader,857421387,13
disobey,xcorpio,831499314,7
disobey,Nerf Herder,222622523,10
disobey,GrandMoffR10,216462581,5
disobey,Maz897,853861723,6
disobey,eekajj,136748942,7
disobey,Bluescout99,347221112,10
disobey,SlizzyFizz,125167493,5
disobey,Loreck Avery,163499779,8
disobey,ŒArsmant,973534937,7
disobey,Sexbobomb,396197254,12
disobey,DarthYinzer,682841274,7
disobey,Coimba,685713638,5
disobey,SithHunter,574967428,6
disobey,Gladiator Motoko,683258588,6
disobey,Shadowcat USM,825149629,4
disobey,Heisenberg,892234357,4
disobey,Gibrise USM,731149156,8
disobey,PhoenixRed11,841797886,6
disobey,Rann,994385236,6
disobey,Ceth Senpai,474166757,6
disobey,Eckle,228335419,7
disobey,Pдсо,238227159,7
disobey,DANTE,417327527,5
disobey,Ace,154174985,8
disobey,Bro Beans,891261494,5
disobey,Brill Adrien,876538381,6
disobey,Seandwe,737873335,5
disobey,X'loor Bintaghr,125796381,6
disobey,RaaRaven,318429567,7
disobey,Daxx Zanon,515149882,0
disobey,Kilum Natta,192664314,0
disobey,Corey Gandy,241213166,0